연번,시도명,시군구명,시설유형,시설종류,시설명,도로명주소,위도,경도,전화번호,데이터기준일자,
40.0,서울특별시,마포구,노인여가복지시설,경로당,신공덕삼성1차(아)경로당,서울특별시 마포구 백범로37길 12,37.5426672061809,126.955657567862,02-701-9213,2024-11-22,
41.0,서울특별시,마포구,노인여가복지시설,경로당,한마음경로당,서울특별시 마포구 만리재로 74,37.5464799635447,126.958874926074,02-703-5958,2024-11-22,
42.0,서울특별시,마포구,노인여가복지시설,경로당,큰덕경로당,서울특별시 마포구 만리재로 106,37.5495308437067,126.960507462159,02-701-8332,2024-11-22,
43.0,서울특별시,마포구,노인여가복지시설,경로당,마포펜트라우스(아)경로당,서울특별시 마포구 백범로 205,37.5441044058109,126.954132494218,02-0000-0000,2024-11-22,
44.0,서울특별시,마포구,노인여가복지시설,경로당,SH공사공덕2삼성(아)경로당,서울특별시 마포구 만리재옛길 101,37.5513005519127,126.960924289219,02-0000-0000,2024-11-22,
45.0,서울특별시,마포구,노인여가복지시설,경로당,공덕아이파크(아)경로당,서울특별시 마포구 만리재로 36,37.5445666576149,126.956479823695,02-0000-0000,2024-11-22,
46.0,서울특별시,마포구,노인여가복지시설,경로당,공덕2동제1경로당,서울특별시 마포구 마포대로10길 13 5층,37.5472431516793,126.954484781263,02-702-2340,2024-11-22,
47.0,서울특별시,마포구,노인여가복지시설,경로당,공덕자이(아)경로당,서울특별시 마포구 마포대로 24길 16,37.5532451269514,126.959708982305,02-313-0233,2024-11-22,
48.0,서울특별시,마포구,노인여가복지시설,경로당,공덕자이(아)제2경로당,서울특별시 마포구 마포대로24길 16,37.5532451269514,126.959708982305,02-0000-0000,2024-11-22,
49.0,서울특별시,마포구,노인여가복지시설,경로당,공덕현대(아)경로당,"서울특별시 마포구 마포대로11길 73(공덕동, 공덕현대아파트)",37.5482220969568,126.950057575576,02-711-1882,2024-11-22,
50.0,서울특별시,마포구,노인여가복지시설,경로당,마포현대(아)경로당,"서울특별시 마포구 마포대로11길 84(공덕동, 마포현대아파트)",37.5513715674999,126.950601950196,02-717-1238,2024-11-22,
51.0,서울특별시,마포구,노인여가복지시설,경로당,공덕삼성(아)경로당,"서울특별시 마포구 마포대로 115-8(공덕동, 삼성아파트)",37.5459114267711,126.950621816025,02-711-0807,2024-11-22,
52.0,서울특별시,마포구,노인여가복지시설,경로당,공덕삼성(아)제2경로당,"서울특별시 마포구 마포대로 115-8(공덕동, 삼성아파트)",37.5459114267711,126.950621816025,02-712-8053,2024-11-22,
53.0,서울특별시,마포구,노인여가복지시설,경로당,공덕삼성3차(아)경로당,서울특별시 마포구 마포대로7길 22,37.5491991469814,126.951515090425,02-704-7715,2024-11-22,
54.0,서울특별시,마포구,노인여가복지시설,경로당,공덕삼성4차(아)경로당,서울특별시 마포구 마포대로 11길 50,37.551565883977,126.951176411434,02-3273-5171,2024-11-22,
55.0,서울특별시,마포구,노인여가복지시설,경로당,공덕5차래미안(아)A경로당,"서울특별시 마포구 마포대로 173-15(삼성래미안공덕5차아파트 501동~505동, 509동)",37.5505079202953,126.952786934498,02-711-0090,2024-11-22,
56.0,서울특별시,마포구,노인여가복지시설,경로당,공덕5차래미안(아)B경로당,서울특별시 마포구 마포대로 173-15(삼성래미안공덕5차아파트 506동~508동),37.5492069811217,126.95341622743,02-711-0070,2024-11-22,
57.0,서울특별시,마포구,노인여가복지시설,경로당,마포래미안푸르지오아파트 1단지 경로당,서울특별시 마포구 마포대로 195 마포래미안푸르지오아파트 1단지경로당,37.5523593409916,126.954288914671,02-0000-0000,2024-11-22,
58.0,서울특별시,마포구,노인여가복지시설,경로당,마포래미안푸르지오아파트 2단지 경로당,서울특별시 마포구 마포대로 195 마포래미안푸르지오아파트 2단지경로당,37.5523593409916,126.954288914671,02-0000-0000,2024-11-22,
59.0,서울특별시,마포구,노인여가복지시설,경로당,마포래미안푸르지오아파트 3단지 경로당,서울특별시 마포구 마포대로 195 마포래미안푸르지오아파트 3단지경로당,37.5523593409916,126.954288914671,02-0000-0000,2024-11-22,
60.0,서울특별시,마포구,노인여가복지시설,경로당,마포래미안푸르지오아파트 4단지 경로당,서울특별시 마포구 마포대로 195 마포래미안푸르지오아파트 4단지경로당,37.5523593409916,126.954288914671,02-0000-0000,2024-11-22,
61.0,서울특별시,마포구,노인여가복지시설,경로당,도일경로당,서울특별시 마포구 새창로4라길 16 도일경로당,37.5406149768911,126.951827520802,02-716-2395,2024-11-22,
62.0,서울특별시,마포구,노인여가복지시설,경로당,도화경로당,서울특별시 마포구 새창로6다길 3 도화경로당,37.5409308175219,126.952898095731,02-716-8753,2024-11-22,
63.0,서울특별시,마포구,노인여가복지시설,경로당,마포삼성(아)경로당,서울특별시 마포구 도화길 28 마포삼성아파트 경로당,37.539604272582,126.949623815159,02-703-1550,2024-11-22,
64.0,서울특별시,마포구,노인여가복지시설,경로당,도화현대(아)경로당,서울특별시 마포구 새창로 52 도화현대아파트 경로당,37.5399017414389,126.955741353198,070-8959-3003,2024-11-22,
65.0,서울특별시,마포구,노인여가복지시설,경로당,소양경로당,서울특별시 마포구 새창로6다길 22,37.5403593294283,126.953483173562,02-712-5987,2024-11-22,
66.0,서울특별시,마포구,노인여가복지시설,경로당,마포프레스티지자이 경로당,서울특별시 마포구 대흥로24길 24,,,02-0000-0000,2024-11-22,
67.0,서울특별시,마포구,노인여가복지시설,경로당,우성(아)경로당,서울특별시 마포구 삼개로33,37.5366412259015,126.947753082827,02-717-7932,2024-11-22,
68.0,서울특별시,마포구,노인여가복지시설,경로당,도화현대홈타운(아)경로당,서울특별시 마포구 새창로8길 72 현대홈타운아파트 경로당,37.5386283114278,126.951334789541,02-716-6798,2024-11-22,
69.0,서울특별시,마포구,노인여가복지시설,경로당,현대홈타운2차임대(아)경로당,서울특별시 마포구 새창로8길 72 ,37.5386283114278,126.951334789541,02-719-6642,2024-11-22,
70.0,서울특별시,마포구,노인여가복지시설,경로당,도화쌍용황금(아)경로당,서울특별시 마포구 마포대로4라길30,37.5367291795981,126.945488838133,02-701-6971,2024-11-22,
71.0,서울특별시,마포구,노인여가복지시설,경로당,마포동경로당,서울특별시 마포구 마포대로4나길 69,37.5362843932914,126.945121699027,02-703-3064,2024-11-22,
72.0,서울특별시,마포구,노인여가복지시설,경로당,삼개경로당,서울특별시 마포구 삼개로5길 20,37.5378517959961,126.948109496035,02-702-7525,2024-11-22,
73.0,서울특별시,마포구,노인여가복지시설,경로당,대동경로당,서울특별시 마포구 새창로4라길 11-2,37.5408131819362,126.951824749648,02-701-4469,2024-11-22,
74.0,서울특별시,마포구,노인여가복지시설,경로당,마포동원베네스트(아)경로당,서울특별시 마포구 도화4길41,37.5401219713729,126.95211730276,02-701-0507,2024-11-22,
75.0,서울특별시,마포구,노인여가복지시설,경로당,토정한강삼성(아)경로당,서울특별시 마포구 토정로32길 11,37.5398153632639,126.940964487093,02-711-8569,2024-11-22,
76.0,서울특별시,마포구,노인여가복지시설,경로당,용강삼성래미안(아)경로당,서울특별시 마포구 큰우물로 28,37.5438757229623,126.941597408895,02-6394-3367,2024-11-22,
77.0,서울특별시,마포구,노인여가복지시설,경로당,용강대림2차(아)경로당,서울특별시 마포구 토정로32길 6,37.5409572118117,126.940688096245,02-715-0788,2024-11-22,
78.0,서울특별시,마포구,노인여가복지시설,경로당,LG마포자이(아)경로당,서울특별시 마포구 독막로 42길 2,37.5436074144485,126.945856046727,02-3272-5345,2024-11-22,
79.0,서울특별시,마포구,노인여가복지시설,경로당,대흥동1경로당,서울특별시 마포구 독막로 36길 16,37.5458798285622,126.941014605411,02-717-7150,2024-11-22,
80.0,서울특별시,마포구,노인여가복지시설,경로당,대흥동태영(아)경로당,서울특별시 마포구 독막로 266,37.5438647918824,126.942389692076,02-714-2708,2024-11-22,
81.0,서울특별시,마포구,노인여가복지시설,경로당,태영(아)201동경로당,서울특별시 마포구 독막로 266,37.5438647918824,126.942389692076,02-703-2667,2024-11-22,
82.0,서울특별시,마포구,노인여가복지시설,경로당,세양(아)경로당,서울특별시 마포구 독막로 288,37.5445107938721,126.945107787918,02-717-3006,2024-11-22,
83.0,서울특별시,마포구,노인여가복지시설,경로당,e편한세상 마포리버파크 경로당,서울특별시 마포구 토정로 31길 24,37.5423542578862,126.943757595254,02-0000-0000,2024-11-22,
84.0,서울특별시,마포구,노인여가복지시설,경로당,대흥중앙경로당,서울특별시 마포구 대흥로18길 11,37.5492580014919,126.94395454626,02-704-0097,2024-11-22,
85.0,서울특별시,마포구,노인여가복지시설,경로당,노고산경로당,서울특별시 마포구 고산길 38-4,37.553865251783,126.939249387403,02-715-4058,2024-11-22,
86.0,서울특별시,마포구,노인여가복지시설,경로당,대경경로당,서울특별시 마포구 백범로 18길 26,37.5467955423656,126.942653886734,070-8151-3711,2024-11-22,
87.0,서울특별시,마포구,노인여가복지시설,경로당,마포자이2차(아)경로당,서울특별시 마포구 서강대길 40,37.5491881593669,126.94118288208,02-0000-0000,2024-11-22,
88.0,서울특별시,마포구,노인여가복지시설,경로당,신촌그랑자이경로당,서울특별시 마포구 대흥로 175,37.5557056119973,126.94352414237,02-0000-0000,2024-11-22,
89.0,서울특별시,마포구,노인여가복지시설,경로당,송암경로당,서울특별시 마포구 숭문길 59-2,37.5492626273576,126.945482268675,02-718-5444,2024-11-22,
90.0,서울특별시,마포구,노인여가복지시설,경로당,염리동1경로당,서울특별시 마포구 숭문길 35,37.5481249334286,126.945215356638,02-707-3335,2024-11-22,
91.0,서울특별시,마포구,노인여가복지시설,경로당,상록(아)경로당,서울특별시 마포구 숭문길 106,37.5509232296142,126.946794331773,02-3272-8474,2024-11-22,
92.0,서울특별시,마포구,노인여가복지시설,경로당,염리삼성래미안(아)경로당,서울특별시 마포구 백범로 25길 63,37.5493372919491,126.946782668262,02-711-7006,2024-11-22,
93.0,서울특별시,마포구,노인여가복지시설,경로당,염리삼성(아)제2경로당,서울특별시 마포구 백범로 25길 83,37.5498150446247,126.947817121183,02-2078-2224,2024-11-22,
94.0,서울특별시,마포구,노인여가복지시설,경로당,수복경로당,서울특별시 마포구 창전로2길 39-3,37.5492358117675,126.933452742886,02-715-4542,2024-11-22,
95.0,서울특별시,마포구,노인여가복지시설,경로당,신수현대(아)경로당,서울특별시 마포구 토정로242,37.5429852991281,126.936755420983,02-717-4542,2024-11-22,
96.0,서울특별시,마포구,노인여가복지시설,경로당,성원(아)경로당,서울특별시 마포구 독막로28길 7,37.5470745343533,126.937591426382,02-703-9260,2024-11-22,
97.0,서울특별시,마포구,노인여가복지시설,경로당,신촌삼익(아)경로당,서울특별시 마포구 신수로107,37.5520773676691,126.93481565432,02-0000-0000,2024-11-22,
98.0,서울특별시,마포구,노인여가복지시설,경로당,밤섬현대(아)경로당,서울특별시 마포구 신수로3길23,37.5426124981749,126.93238144379,02-716-1550,2024-11-22,
99.0,서울특별시,마포구,노인여가복지시설,경로당,세양청마루(아)경로당,서울특별시 마포구 독막로209,37.5477919197528,126.937207805874,02-716-9373,2024-11-22,
100.0,서울특별시,마포구,노인여가복지시설,경로당,대원칸타빌(아)경로당,서울특별시 마포구 창전로2길10,37.5476986990998,126.933859384585,02-3273-7055,2024-11-22,
101.0,서울특별시,마포구,노인여가복지시설,경로당,강변현대홈타운(아)경로당,서울특별시 마포구 신수로15,37.5434284387752,126.932935625506,02-715-4670,2024-11-22,
102.0,서울특별시,마포구,노인여가복지시설,경로당,서강GS(아)경로당,서울특별시 마포구 창전로26,37.5445726332364,126.931923509698,02-704-7754,2024-11-22,
103.0,서울특별시,마포구,노인여가복지시설,경로당,마포경남아너스빌(아)경로당,서울특별시 마포구 신수로81,37.5486730252493,126.933992643583,02-712-4777,2024-11-22,
104.0,서울특별시,마포구,노인여가복지시설,경로당,밤섬경남아너스빌(아)경로당,서울특별시 마포구 독막로28길 10,37.5469899455101,126.936200684336,02-714-3342,2024-11-22,
105.0,서울특별시,마포구,노인여가복지시설,경로당,동막경로당,서울특별시 마포구 독막로32길 16,37.5464804661234,126.93866359969,02-712-7221,2024-11-22,
106.0,서울특별시,마포구,노인여가복지시설,경로당,익수경로당,서울특별시 마포구 독막로29길 17,37.5481192027368,126.937531351099,02-702-2139,2024-11-22,
107.0,서울특별시,마포구,노인여가복지시설,경로당,마포 래미안 웰스트림 경로당,서울특별시 마포구 토정로 18길 11,37.5438418848766,126.934819531256,070-4446-3828,2024-11-22,
108.0,서울특별시,마포구,노인여가복지시설,경로당,창전동경로당,서울특별시 마포구 서강로1길 30,37.5491793398684,126.930194273501,02-334-7765,2024-11-22,
109.0,서울특별시,마포구,노인여가복지시설,경로당,창전삼성(아)경로당,서울특별시 마포구 서강로 95,37.5520438576336,126.932099965413,02-3143-2397,2024-11-22,
110.0,서울특별시,마포구,노인여가복지시설,경로당,창전삼성(아)제2경로당,서울특별시 마포구 서강로 95,37.5520438576336,126.932099965413,02-323-2493,2024-11-22,
111.0,서울특별시,마포구,노인여가복지시설,경로당,신촌금호(아)경로당,서울특별시 마포구 서강로9길 19,37.5529268658339,126.932098699206,02-322-1437,2024-11-22,
112.0,서울특별시,마포구,노인여가복지시설,경로당,신촌태영데시앙(아)경로당,서울특별시 마포구 서강로9길 45,37.5526590535854,126.931378199221,02-3141-9658,2024-11-22,
113.0,서울특별시,마포구,노인여가복지시설,경로당,상수경로당,"서울특별시 마포구 와우산로14길 18, 301호",37.5503936755935,126.924009119633,02-335-2967,2024-11-22,
114.0,서울특별시,마포구,노인여가복지시설,경로당,당인경로당,"서울특별시 마포구 어울마당로 14, 202호",37.5465681101922,126.919492169161,02-338-3641,2024-11-22,
115.0,서울특별시,마포구,노인여가복지시설,경로당,농바우경로당,서울특별시 마포구 와우산로5길 12,37.5468568469968,126.922498211211,02-338-5219,2024-11-22,
116.0,서울특별시,마포구,노인여가복지시설,경로당,상수두산위브(아)경로당,서울특별시 마포구 독막로18길 5,37.547088010203,126.924135794324,02-322-6050,2024-11-22,
117.0,서울특별시,마포구,노인여가복지시설,경로당,서강쌍용예가(아)경로당,서울특별시 마포구 독막로145,37.5490288415617,126.929494774269,02-336-6231,2024-11-22,
118.0,서울특별시,마포구,노인여가복지시설,경로당,한강밤섬자이(아)경로당,서울특별시 마포구 토정로 158,37.5451327349274,126.928101933317,02-322-1064,2024-11-22,
119.0,서울특별시,마포구,노인여가복지시설,경로당,서강해모로아파트 경로당,서울특별시 마포구 토정로 167,37.5464374495228,126.928898062851,02-0000-0000,2024-11-22,
120.0,서울특별시,마포구,노인여가복지시설,경로당,래미안밤섬리베뉴1차(아)경로당,서울특별시 마포구 독막로20나길 22,37.5460587420111,126.924897453688,02-0000-0000,2024-11-22,
121.0,서울특별시,마포구,노인여가복지시설,경로당,홍익경로당,서울특별시 마포구 와우산로21길 19-3,37.5521864523789,126.922987449676,02-338-0171,2024-11-22,
122.0,서울특별시,마포구,노인여가복지시설,경로당,신교경로당,서울특별시 마포구 잔다리로9길 4-8,37.557537172785,126.912984500118,02-3142-0535,2024-11-22,
123.0,서울특별시,마포구,노인여가복지시설,경로당,동교동경로당,서울특별시 마포구 연희로1길 5,37.5595774542592,126.92623147508,02-324-6466,2024-11-22,
124.0,서울특별시,마포구,노인여가복지시설,경로당,세교경로당,서울특별시 마포구 와우산로37길 16,37.5562789271329,126.930126865772,02-324-1643,2024-11-22,
125.0,서울특별시,마포구,노인여가복지시설,경로당,서교푸르지오(아)경로당,서울특별시 마포구 홍익로 10,37.5537252333433,126.923757564706,02-337-3061,2024-11-22,
126.0,서울특별시,마포구,노인여가복지시설,경로당,신촌로경로당,서울특별시 마포구 신촌로12나길 8,37.5553137869193,126.933004062403,02-333-9333,2024-11-22,
127.0,서울특별시,마포구,노인여가복지시설,경로당,희우경로당,서울특별시 마포구 동교로 62-6,37.5531671687616,126.9090754539,02-333-8898,2024-11-22,
128.0,서울특별시,마포구,노인여가복지시설,경로당,양화진경로당,서울특별시 마포구 양화진길 43,37.5466923549354,126.912406230971,02-334-7797,2024-11-22,
129.0,서울특별시,마포구,노인여가복지시설,경로당,합정경로당,서울특별시 마포구 동교로8길 58 3층,37.5494421380759,126.9057459174,02-336-0677,2024-11-22,
130.0,서울특별시,마포구,노인여가복지시설,경로당,송백경로당,서울특별시 마포구 망원로2길 103,37.5533017274452,126.905112362909,02-334-4653,2024-11-22,
131.0,서울특별시,마포구,노인여가복지시설,경로당,대주(아)경로당,서울특별시 마포구 동교로3길 115,37.5549513347688,126.898399459271,02-336-0170,2024-11-22,
132.0,서울특별시,마포구,노인여가복지시설,경로당,오칠경로당,서울특별시 마포구 월드컵로 19길 44,37.5555954873398,126.90761404665,02-322-0582,2024-11-22,
133.0,서울특별시,마포구,노인여가복지시설,경로당,서림경로당,서울특별시 마포구 희우정로15길 25-9,37.5528347483292,126.901395746764,02-335-5053,2024-11-22,
134.0,서울특별시,마포구,노인여가복지시설,경로당,망원2동1경로당,서울특별시 마포구 월드컵로31길 69,37.5602846815735,126.901218588655,02-324-3760,2024-11-22,
135.0,서울특별시,마포구,노인여가복지시설,경로당,쌈지경로당,서울특별시 마포구 방울내로 24-12,37.5573499800679,126.898601871498,02-324-4341,2024-11-22,
136.0,서울특별시,마포구,노인여가복지시설,경로당,미원(아)경로당,서울특별시 마포구 월드컵로 29길 68,37.5589238088882,126.902155336482,02-336-2590,2024-11-22,
137.0,서울특별시,마포구,노인여가복지시설,경로당,망원2차대림(아)경로당,서울특별시 마포구 망원로1길 27,37.5569233388983,126.899230636835,02-322-9404,2024-11-22,
138.0,서울특별시,마포구,노인여가복지시설,경로당,망원휴먼빌(아)경로당,서울특별시 마포구 방울내로 31,37.5583783922974,126.898733889902,02-6081-0516,2024-11-22,
139.0,서울특별시,마포구,노인여가복지시설,경로당,연남동경로당,서울특별시 마포구 연남로 4,37.5603389230332,126.923764424123,02-332-3960,2024-11-22,
140.0,서울특별시,마포구,노인여가복지시설,경로당,연서경로당,서울특별시 마포구 연남로11길 3,37.5656995138578,126.918763458525,02-324-3513,2024-11-22,
141.0,서울특별시,마포구,노인여가복지시설,경로당,연동경로당,서울특별시 마포구 성미산로29안길 30,37.5655828980205,126.923756993906,02-322-4290,2024-11-22,
142.0,서울특별시,마포구,노인여가복지시설,경로당,코오롱하늘채(아)경로당,서울특별시 마포구 연남로52,37.5648202262447,126.920157103197,02-323-0088,2024-11-22,
143.0,서울특별시,마포구,노인여가복지시설,경로당,느티나무경로당,서울특별시 마포구 성미산로18길 18,37.5606861600691,126.918371757778,02-3144-8626,2024-11-22,
144.0,서울특별시,마포구,노인여가복지시설,경로당,성산1동1경로당,서울특별시 마포구 월드컵북로 15안길 26,37.5627443684586,126.910939441306,02-335-2012,2024-11-22,
145.0,서울특별시,마포구,노인여가복지시설,경로당,성미경로당,서울특별시 마포구 월드컵로30길 16,37.5615420680705,126.906610514064,02-333-7586,2024-11-22,
146.0,서울특별시,마포구,노인여가복지시설,경로당,성산1동2경로당,서울특별시 마포구 월드컵로26길 40-11 1층,37.5589071276557,126.910089756214,02-322-3616,2024-11-22,
147.0,서울특별시,마포구,노인여가복지시설,경로당,다솜경로당,서울특별시 마포구 성미산로13길 46,37.5628897782776,126.91695902314,02-322-4598,2024-11-22,
148.0,서울특별시,마포구,노인여가복지시설,경로당,샛터경로당,서울특별시 마포구 새터산2길 7,37.5651277012674,126.907531632977,02-374-4021,2024-11-22,
149.0,서울특별시,마포구,노인여가복지시설,경로당,무리울새마을경로당,서울특별시 마포구 월드컵북로 198-17,37.5688911192178,126.907216377795,02-308-8656,2024-11-22,
150.0,서울특별시,마포구,노인여가복지시설,경로당,낙루경로당,서울특별시 마포구 월드컵북로38나길 25,37.5706796474286,126.906726152105,02-305-8314,2024-11-22,
151.0,서울특별시,마포구,노인여가복지시설,경로당,대우경로당,서울특별시 마포구 월드컵북로235,37.5697023822657,126.901420019912,02-304-0682,2024-11-22,
152.0,서울특별시,마포구,노인여가복지시설,경로당,성산시영(아)경로당,서울특별시 마포구 월드컵북로235,37.5697023822657,126.901420019912,02-303-8159,2024-11-22,
153.0,서울특별시,마포구,노인여가복지시설,경로당,중동청구(아)경로당,서울특별시 마포구 성암로11길 60,37.5744807942197,126.90173481653,02-307-5987,2024-11-22,
